stub on http://127.0.0.1:8851/console
# console-mobile-nav-0811 — 70/70

| מצב | רוחב | קבוצה | מה נבדק | ערך | תוצאה |
|---|---|---|---|---|---|
| light | 390 | before | #menu button[data-view="devices"] נעלם | `box=false tabbable=false` | ✅ |
| light | 390 | before | #menu button[data-view="links"] נעלם | `box=false tabbable=false` | ✅ |
| light | 390 | before | #menu button[data-view="clients"] נעלם | `box=false tabbable=false` | ✅ |
| light | 390 | before | #menu button[data-view="enroll"] נעלם | `box=false tabbable=false` | ✅ |
| light | 390 | before | #menu button[data-view="guide"] נעלם | `box=false tabbable=false` | ✅ |
| light | 390 | before | #menu button[data-view="settings"] נעלם | `box=false tabbable=false` | ✅ |
| light | 390 | before | #logout-btn נעלם | `box=false tabbable=false` | ✅ |
| light | 390 | before | גם הלחצן עצמו לא היה קיים | `box=false` | ✅ |
| light | 390 | closed | הלחצן מוצג | `flex` | ✅ |
| light | 390 | closed | הלוח אינו מצויר | `none` | ✅ |
| light | 390 | closed | ARIA וציור מסכימים | `aria-expanded=false data-open=false` | ✅ |
| light | 390 | closed | פריט ניווט אינו נגיש בטאב | `tabbable=false` | ✅ |
| light | 390 | closed | יעד מגע 44px (2.5.8) | `88×44` | ✅ |
| light | 390 | closed | הלחצן נמצא במסלול הטאב | `stop #1` | ✅ |
| light | 390 | closed | טבעת מיקוד על ה-navy | `solid 2px rgb(126, 166, 255) → 7.29:1` | ✅ |
| light | 390 | open | ARIA וציור מסכימים | `aria-expanded=true data-open=true display=block` | ✅ |
| light | 390 | open | #menu button[data-view="devices"] נגיש | `box=true tabbable=true` | ✅ |
| light | 390 | open | #menu button[data-view="links"] נגיש | `box=true tabbable=true` | ✅ |
| light | 390 | open | #menu button[data-view="clients"] נגיש | `box=true tabbable=true` | ✅ |
| light | 390 | open | #menu button[data-view="enroll"] נגיש | `box=true tabbable=true` | ✅ |
| light | 390 | open | #menu button[data-view="guide"] נגיש | `box=true tabbable=true` | ✅ |
| light | 390 | open | #menu button[data-view="settings"] נגיש | `box=true tabbable=true` | ✅ |
| light | 390 | open | #logout-btn נגיש | `box=true tabbable=true` | ✅ |
| light | 390 | open | יעד מגע של פריט ניווט | `48px` | ✅ |
| light | 390 | open | הלחצן לפני פריטי הלוח בסדר הטאבים | `#side-toggle → [devices] → [links] → [clients]` | ✅ |
| light | 390 | escape | נסגר | `data-open=false aria-expanded=false` | ✅ |
| light | 390 | escape | הפוקוס חזר ללחצן | `activeElement=#side-toggle` | ✅ |
| light | 390 | route | המסך אכן התחלף | `ספריית קישורים` | ✅ |
| light | 390 | route | הלוח נסגר | `data-open=false aria-expanded=false` | ✅ |
| light | 390 | route | הפוקוס על כותרת המסך, לא על הלחצן | `H1` | ✅ |
| light | 390 | pill | הלחצן מקבל את הלחיצה | `elementFromPoint → side-toggle` | ✅ |
| light | 390 | pill | ובלי השמירה — הגלולה לוקחת אותה | `elementFromPoint → qa-pill` | ✅ |
| light | 1200 | wide | הסרגל חזר לעמודה | `250px 950px / panel=block` | ✅ |
| light | 1200 | wide | הלחצן נעלם וה-ARIA התאפס | `display=none aria-expanded=false` | ✅ |
| light | 1200 | wide | הניווט נגיש כרגיל | `box=true tabbable=true` | ✅ |
| dark | 390 | before | #menu button[data-view="devices"] נעלם | `box=false tabbable=false` | ✅ |
| dark | 390 | before | #menu button[data-view="links"] נעלם | `box=false tabbable=false` | ✅ |
| dark | 390 | before | #menu button[data-view="clients"] נעלם | `box=false tabbable=false` | ✅ |
| dark | 390 | before | #menu button[data-view="enroll"] נעלם | `box=false tabbable=false` | ✅ |
| dark | 390 | before | #menu button[data-view="guide"] נעלם | `box=false tabbable=false` | ✅ |
| dark | 390 | before | #menu button[data-view="settings"] נעלם | `box=false tabbable=false` | ✅ |
| dark | 390 | before | #logout-btn נעלם | `box=false tabbable=false` | ✅ |
| dark | 390 | before | גם הלחצן עצמו לא היה קיים | `box=false` | ✅ |
| dark | 390 | closed | הלחצן מוצג | `flex` | ✅ |
| dark | 390 | closed | הלוח אינו מצויר | `none` | ✅ |
| dark | 390 | closed | ARIA וציור מסכימים | `aria-expanded=false data-open=false` | ✅ |
| dark | 390 | closed | פריט ניווט אינו נגיש בטאב | `tabbable=false` | ✅ |
| dark | 390 | closed | יעד מגע 44px (2.5.8) | `88×44` | ✅ |
| dark | 390 | closed | הלחצן נמצא במסלול הטאב | `stop #1` | ✅ |
| dark | 390 | closed | טבעת מיקוד על ה-navy | `solid 2px rgb(126, 166, 255) → 7.29:1` | ✅ |
| dark | 390 | open | ARIA וציור מסכימים | `aria-expanded=true data-open=true display=block` | ✅ |
| dark | 390 | open | #menu button[data-view="devices"] נגיש | `box=true tabbable=true` | ✅ |
| dark | 390 | open | #menu button[data-view="links"] נגיש | `box=true tabbable=true` | ✅ |
| dark | 390 | open | #menu button[data-view="clients"] נגיש | `box=true tabbable=true` | ✅ |
| dark | 390 | open | #menu button[data-view="enroll"] נגיש | `box=true tabbable=true` | ✅ |
| dark | 390 | open | #menu button[data-view="guide"] נגיש | `box=true tabbable=true` | ✅ |
| dark | 390 | open | #menu button[data-view="settings"] נגיש | `box=true tabbable=true` | ✅ |
| dark | 390 | open | #logout-btn נגיש | `box=true tabbable=true` | ✅ |
| dark | 390 | open | יעד מגע של פריט ניווט | `48px` | ✅ |
| dark | 390 | open | הלחצן לפני פריטי הלוח בסדר הטאבים | `#side-toggle → [devices] → [links] → [clients]` | ✅ |
| dark | 390 | escape | נסגר | `data-open=false aria-expanded=false` | ✅ |
| dark | 390 | escape | הפוקוס חזר ללחצן | `activeElement=#side-toggle` | ✅ |
| dark | 390 | route | המסך אכן התחלף | `ספריית קישורים` | ✅ |
| dark | 390 | route | הלוח נסגר | `data-open=false aria-expanded=false` | ✅ |
| dark | 390 | route | הפוקוס על כותרת המסך, לא על הלחצן | `H1` | ✅ |
| dark | 390 | pill | הלחצן מקבל את הלחיצה | `elementFromPoint → side-toggle` | ✅ |
| dark | 390 | pill | ובלי השמירה — הגלולה לוקחת אותה | `elementFromPoint → qa-pill` | ✅ |
| dark | 1200 | wide | הסרגל חזר לעמודה | `250px 950px / panel=block` | ✅ |
| dark | 1200 | wide | הלחצן נעלם וה-ARIA התאפס | `display=none aria-expanded=false` | ✅ |
| dark | 1200 | wide | הניווט נגיש כרגיל | `box=true tabbable=true` | ✅ |
