stub on http://127.0.0.1:8839/console

| מצב | פקד | מה נבדק | סוג | הנמדד | הערה | |
|---|---|---|---|---|---|---|
| light | ‎.btn-light‎ (רענון) | הטבעת מוצהרת אצלנו ולא של הדפדפן | תיקון | solid 2px #2a61e8 · offset 2px | הגעה ב-8 הקשות | ✅ |
| light | ‎.btn-light‎ (רענון) | ניגודיות הטבעת מול המשטח מאחוריה (1.4.11 ⇐ 3:1) | תיקון | 4.98:1 · #2960e8 מול #f5f7fb | דגימת פיקסלים ברצועה שמחוץ לפקד | ✅ |
| light | ‎.btn-light‎ (רענון) | **לפני** — טבעת ברירת המחדל של הדפדפן | לפני | auto 1px | חייב לעבור, אחרת לא היה כאן באג | ✅ |
| light | ‎.btn-light‎ (רענון) | **לפני** — מה הדפדפן צייר בפועל | ממצא | 17.74:1 · #101010 | נמדד ולא נדרש: הבעיה היא שהערך אינו שלנו ואינו נקרא מ-getComputedStyle | ✅ |
| light | ‎.btn-primary‎ (הוספת מכשיר) | הטבעת מוצהרת אצלנו ולא של הדפדפן | תיקון | solid 2px #2a61e8 · offset 2px | הגעה ב-1 הקשות | ✅ |
| light | ‎.btn-primary‎ (הוספת מכשיר) | ניגודיות הטבעת מול המשטח מאחוריה (1.4.11 ⇐ 3:1) | תיקון | 17.62:1 · #0b0d2e מול #f5f7fb | דגימת פיקסלים ברצועה שמחוץ לפקד | ✅ |
| light | ‎.btn-primary‎ (הוספת מכשיר) | **לפני** — טבעת ברירת המחדל של הדפדפן | לפני | auto 1px | חייב לעבור, אחרת לא היה כאן באג | ✅ |
| light | ‎.btn-primary‎ (הוספת מכשיר) | **לפני** — מה הדפדפן צייר בפועל | ממצא | 17.97:1 · #0e0e11 | נמדד ולא נדרש: הבעיה היא שהערך אינו שלנו ואינו נקרא מ-getComputedStyle | ✅ |
| light | ‎.btn-danger‎ (🗑️ בכרטיס מכשיר) | הטבעת מוצהרת אצלנו ולא של הדפדפן | תיקון | solid 2px #2a61e8 · offset 2px | הגעה ב-13 הקשות | ✅ |
| light | ‎.btn-danger‎ (🗑️ בכרטיס מכשיר) | ניגודיות הטבעת מול המשטח מאחוריה (1.4.11 ⇐ 3:1) | תיקון | 5.28:1 · #2a61e8 מול #ffffff | דגימת פיקסלים ברצועה שמחוץ לפקד | ✅ |
| light | ‎.btn-danger‎ (🗑️ בכרטיס מכשיר) | **לפני** — טבעת ברירת המחדל של הדפדפן | לפני | auto 1px | חייב לעבור, אחרת לא היה כאן באג | ✅ |
| light | ‎.btn-danger‎ (🗑️ בכרטיס מכשיר) | **לפני** — מה הדפדפן צייר בפועל | ממצא | 19.03:1 · #101010 | נמדד ולא נדרש: הבעיה היא שהערך אינו שלנו ואינו נקרא מ-getComputedStyle | ✅ |
| light | קישור בתוך טקסט (מדריך המשתמש) | הטבעת מוצהרת אצלנו ולא של הדפדפן | תיקון | solid 2px #2a61e8 · offset 2px | הגעה ב-3 הקשות | ✅ |
| light | קישור בתוך טקסט (מדריך המשתמש) | ניגודיות הטבעת מול המשטח מאחוריה (1.4.11 ⇐ 3:1) | תיקון | 5.28:1 · #2a61e8 מול #ffffff | דגימת פיקסלים ברצועה שמחוץ לפקד | ✅ |
| light | קישור בתוך טקסט (מדריך המשתמש) | **לפני** — טבעת ברירת המחדל של הדפדפן | לפני | auto 1px | חייב לעבור, אחרת לא היה כאן באג | ✅ |
| light | קישור בתוך טקסט (מדריך המשתמש) | **לפני** — מה הדפדפן צייר בפועל | ממצא | 19.03:1 · #101010 | נמדד ולא נדרש: הבעיה היא שהערך אינו שלנו ואינו נקרא מ-getComputedStyle | ✅ |
| light | תיבת סימון (שלב באשף) | הטבעת מוצהרת אצלנו ולא של הדפדפן | תיקון | solid 2px #2a61e8 · offset 2px | הגעה ב-2 הקשות | ✅ |
| light | תיבת סימון (שלב באשף) | ניגודיות הטבעת מול המשטח מאחוריה (1.4.11 ⇐ 3:1) | תיקון | 5.28:1 · #2a61e8 מול #ffffff | דגימת פיקסלים ברצועה שמחוץ לפקד | ✅ |
| light | תיבת סימון (שלב באשף) | **לפני** — טבעת ברירת המחדל של הדפדפן | לפני | auto 1px | חייב לעבור, אחרת לא היה כאן באג | ✅ |
| light | תיבת סימון (שלב באשף) | **לפני** — מה הדפדפן צייר בפועל | ממצא | 19.03:1 · #101010 | נמדד ולא נדרש: הבעיה היא שהערך אינו שלנו ואינו נקרא מ-getComputedStyle | ✅ |
| dark | ‎.btn-light‎ (רענון) | הטבעת מוצהרת אצלנו ולא של הדפדפן | תיקון | solid 2px #7ea6ff · offset 2px | הגעה ב-8 הקשות | ✅ |
| dark | ‎.btn-light‎ (רענון) | ניגודיות הטבעת מול המשטח מאחוריה (1.4.11 ⇐ 3:1) | תיקון | 7.83:1 · #7ea6ff מול #0b1220 | דגימת פיקסלים ברצועה שמחוץ לפקד | ✅ |
| dark | ‎.btn-light‎ (רענון) | **לפני** — טבעת ברירת המחדל של הדפדפן | לפני | auto 1px | חייב לעבור, אחרת לא היה כאן באג | ✅ |
| dark | ‎.btn-light‎ (רענון) | **לפני** — מה הדפדפן צייר בפועל | ממצא | 18.72:1 · #ffffff | נמדד ולא נדרש: הבעיה היא שהערך אינו שלנו ואינו נקרא מ-getComputedStyle | ✅ |
| dark | ‎.btn-primary‎ (הוספת מכשיר) | הטבעת מוצהרת אצלנו ולא של הדפדפן | תיקון | solid 2px #7ea6ff · offset 2px | הגעה ב-1 הקשות | ✅ |
| dark | ‎.btn-primary‎ (הוספת מכשיר) | ניגודיות הטבעת מול המשטח מאחוריה (1.4.11 ⇐ 3:1) | תיקון | 16.85:1 · #eef3ff מול #0b1220 | דגימת פיקסלים ברצועה שמחוץ לפקד | ✅ |
| dark | ‎.btn-primary‎ (הוספת מכשיר) | **לפני** — טבעת ברירת המחדל של הדפדפן | לפני | auto 1px | חייב לעבור, אחרת לא היה כאן באג | ✅ |
| dark | ‎.btn-primary‎ (הוספת מכשיר) | **לפני** — מה הדפדפן צייר בפועל | ממצא | 18.72:1 · #ffffff | נמדד ולא נדרש: הבעיה היא שהערך אינו שלנו ואינו נקרא מ-getComputedStyle | ✅ |
| dark | ‎.btn-danger‎ (🗑️ בכרטיס מכשיר) | הטבעת מוצהרת אצלנו ולא של הדפדפן | תיקון | solid 2px #7ea6ff · offset 2px | הגעה ב-13 הקשות | ✅ |
