stub on http://127.0.0.1:8829/console

| מצב | דיאלוג | מה נבדק | סוג | הנמדד | הערה | |
|---|---|---|---|---|---|---|
| light | ♻️ אתחל | המיקוד בפתיחה | אחרי | div.modal | התיבה עצמה — הפקד הראשון הוא «כן, בצע» · 2 פקדים | ✅ |
| light | ♻️ אתחל | שם נגיש | אחרי | role=dialog · aria-modal=true · «לאתחל את המכשיר?» |  | ✅ |
| light | ♻️ אתחל | Tab ×24 — כל עצירה בתוך הדיאלוג | אחרי | 24/24 בפנים |  | ✅ |
| light | ♻️ אתחל | Shift+Tab מהפקד הראשון גולש לאחרון | אחרי | #y.btn «כן, בצע» → #n.btn «ביטול» |  | ✅ |
| light | ♻️ אתחל | Escape סוגר | אחרי | נסגר |  | ✅ |
| light | ♻️ אתחל | המיקוד חוזר לכפתור שפתח | אחרי | button.btn «♻️ אתחל» |  | ✅ |
| light | ✏️ עריכה | המיקוד בפתיחה | אחרי | #n | השדה הראשון — הדיאלוג נפתח כדי לקבל ערך · 9 פקדים | ✅ |
| light | ✏️ עריכה | שם נגיש | אחרי | role=dialog · aria-modal=true · «עריכת מכשיר» |  | ✅ |
| light | ✏️ עריכה | Tab ×24 — כל עצירה בתוך הדיאלוג | אחרי | 24/24 בפנים |  | ✅ |
| light | ✏️ עריכה | Shift+Tab מהפקד הראשון גולש לאחרון | אחרי | #n → #c.btn «ביטול» |  | ✅ |
| light | ✏️ עריכה | Escape סוגר | אחרי | נסגר |  | ✅ |
| light | ✏️ עריכה | המיקוד חוזר לכפתור שפתח | אחרי | button.btn «✏️ עריכה» |  | ✅ |
| light | 🔑 קוד גישה | המיקוד בפתיחה | אחרי | div.modal | התיבה עצמה — אין שדה טקסט — ההנפקה מחדש היא פעולה · 3 פקדים | ✅ |
| light | 🔑 קוד גישה | שם נגיש | אחרי | role=dialog · aria-modal=true · «קוד גישה למכשיר» |  | ✅ |
| light | 🔑 קוד גישה | Tab ×24 — כל עצירה בתוך הדיאלוג | אחרי | 24/24 בפנים |  | ✅ |
| light | 🔑 קוד גישה | Shift+Tab מהפקד הראשון גולש לאחרון | אחרי | #cp.btn «העתקה» → #c.btn «סגירה» |  | ✅ |
| light | 🔑 קוד גישה | Escape סוגר | אחרי | נסגר |  | ✅ |
| light | 🔑 קוד גישה | המיקוד חוזר לכפתור שפתח | אחרי | button.btn «🔑 קוד גישה» |  | ✅ |
| light | בקרה — ‎.modal-bg‎ בלי ‎modal()‎ | המיקוד בפתיחה | לפני | button.btn «♻️ אתחל» | נשאר על הכפתור שמתחת לדיאלוג | ✅ |
| light | בקרה — ‎.modal-bg‎ בלי ‎modal()‎ | Tab ×6 הולך לדף שמאחור | לפני | 6 עצירות מחוץ לדיאלוג: button.btn «🌙 כבה מסך», button.btn «☀️ הדלק מסך» |  | ✅ |
| light | בקרה — ‎.modal-bg‎ בלי ‎modal()‎ | Escape אינו סוגר | לפני | נשאר פתוח |  | ✅ |
| dark | ♻️ אתחל | המיקוד בפתיחה | אחרי | div.modal | התיבה עצמה — הפקד הראשון הוא «כן, בצע» · 2 פקדים | ✅ |
| dark | ♻️ אתחל | שם נגיש | אחרי | role=dialog · aria-modal=true · «לאתחל את המכשיר?» |  | ✅ |
| dark | ♻️ אתחל | Tab ×24 — כל עצירה בתוך הדיאלוג | אחרי | 24/24 בפנים |  | ✅ |
| dark | ♻️ אתחל | Shift+Tab מהפקד הראשון גולש לאחרון | אחרי | #y.btn «כן, בצע» → #n.btn «ביטול» |  | ✅ |
| dark | ♻️ אתחל | Escape סוגר | אחרי | נסגר |  | ✅ |
| dark | ♻️ אתחל | המיקוד חוזר לכפתור שפתח | אחרי | button.btn «♻️ אתחל» |  | ✅ |
| dark | ✏️ עריכה | המיקוד בפתיחה | אחרי | #n | השדה הראשון — הדיאלוג נפתח כדי לקבל ערך · 9 פקדים | ✅ |
| dark | ✏️ עריכה | שם נגיש | אחרי | role=dialog · aria-modal=true · «עריכת מכשיר» |  | ✅ |
| dark | ✏️ עריכה | Tab ×24 — כל עצירה בתוך הדיאלוג | אחרי | 24/24 בפנים |  | ✅ |
| dark | ✏️ עריכה | Shift+Tab מהפקד הראשון גולש לאחרון | אחרי | #n → #c.btn «ביטול» |  | ✅ |
| dark | ✏️ עריכה | Escape סוגר | אחרי | נסגר |  | ✅ |
| dark | ✏️ עריכה | המיקוד חוזר לכפתור שפתח | אחרי | button.btn «✏️ עריכה» |  | ✅ |
| dark | 🔑 קוד גישה | המיקוד בפתיחה | אחרי | div.modal | התיבה עצמה — אין שדה טקסט — ההנפקה מחדש היא פעולה · 3 פקדים | ✅ |
| dark | 🔑 קוד גישה | שם נגיש | אחרי | role=dialog · aria-modal=true · «קוד גישה למכשיר» |  | ✅ |
| dark | 🔑 קוד גישה | Tab ×24 — כל עצירה בתוך הדיאלוג | אחרי | 24/24 בפנים |  | ✅ |
| dark | 🔑 קוד גישה | Shift+Tab מהפקד הראשון גולש לאחרון | אחרי | #cp.btn «העתקה» → #c.btn «סגירה» |  | ✅ |
| dark | 🔑 קוד גישה | Escape סוגר | אחרי | נסגר |  | ✅ |
| dark | 🔑 קוד גישה | המיקוד חוזר לכפתור שפתח | אחרי | button.btn «🔑 קוד גישה» |  | ✅ |
| dark | בקרה — ‎.modal-bg‎ בלי ‎modal()‎ | המיקוד בפתיחה | לפני | button.btn «♻️ אתחל» | נשאר על הכפתור שמתחת לדיאלוג | ✅ |
| dark | בקרה — ‎.modal-bg‎ בלי ‎modal()‎ | Tab ×6 הולך לדף שמאחור | לפני | 6 עצירות מחוץ לדיאלוג: button.btn «🌙 כבה מסך», button.btn «☀️ הדלק מסך» |  | ✅ |
| dark | בקרה — ‎.modal-bg‎ בלי ‎modal()‎ | Escape אינו סוגר | לפני | נשאר פתוח |  | ✅ |

42/42 עוברים. 6 שורות בקרה: 6 אישרו שהמצב הקודם אינו נגיש למקלדת.

