stub on http://127.0.0.1:8824/console

| מצב | מסך | הפקד | סוג | טבעת | מסגרת | מילוי | הטוב ביותר | עובי | הערה | |
|---|---|---|---|---|---|---|---|---|---|---|
| light | ספריית קישורים | שם הקישור | הסימון | 5.28 | 1.60 | 1.03 | **5.28** | 2px | טבעת rgb(42, 97, 232) על rgb(255, 255, 255) · offset 2px | ✅ |
| light | ספריית קישורים | שם הקישור — **בקרה** (‎outline:none‎) | לפני | — | 1.60 | 1.03 | **1.60** | 0px | פיקסלים כן זזו — ולכן ‎diff‎ לבדו אינו מודד את זה | ✅ |
| light | ספריית קישורים | תיבת הדומיין החדש (‎.hl-new‎) | הסימון | 5.28 | 1.60 | 1.03 | **5.28** | 2px | טבעת rgb(42, 97, 232) על rgb(255, 255, 255) · offset 2px | ✅ |
| light | ספריית קישורים | תיבת הדומיין החדש (‎.hl-new‎) — **בקרה** (‎outline:none‎) | לפני | — | 1.60 | 1.03 | **1.60** | 0px | פיקסלים כן זזו — ולכן ‎diff‎ לבדו אינו מודד את זה | ✅ |
| light | הוספת מכשיר | בחירת קישור מהספרייה (‎select‎) | הסימון | 5.28 | 1.60 | 1.03 | **5.28** | 2px | טבעת rgb(42, 97, 232) על rgb(255, 255, 255) · offset 2px | ✅ |
| light | הוספת מכשיר | בחירת קישור מהספרייה (‎select‎) — **בקרה** (‎outline:none‎) | לפני | — | 1.60 | 1.03 | **1.60** | 0px | פיקסלים כן זזו — ולכן ‎diff‎ לבדו אינו מודד את זה | ✅ |
| light | הוספת מכשיר | שניות חזרה אוטומטית (‎number‎) | הסימון | 5.28 | 1.60 | 1.03 | **5.28** | 2px | טבעת rgb(42, 97, 232) על rgb(255, 255, 255) · offset 2px | ✅ |
| light | הוספת מכשיר | שניות חזרה אוטומטית (‎number‎) — **בקרה** (‎outline:none‎) | לפני | — | 1.60 | 1.03 | **1.60** | 0px | פיקסלים כן זזו — ולכן ‎diff‎ לבדו אינו מודד את זה | ✅ |
| light | הגדרות | סיסמה נוכחית (‎password‎) | הסימון | 5.28 | 1.60 | 1.03 | **5.28** | 2px | טבעת rgb(42, 97, 232) על rgb(255, 255, 255) · offset 2px | ✅ |
| light | הגדרות | סיסמה נוכחית (‎password‎) — **בקרה** (‎outline:none‎) | לפני | — | 1.60 | 1.03 | **1.60** | 0px | פיקסלים כן זזו — ולכן ‎diff‎ לבדו אינו מודד את זה | ✅ |
| light | מסך הכניסה | שם משתמש במסך הכניסה | הסימון | 5.28 | 1.60 | 1.03 | **5.28** | 2px | טבעת rgb(42, 97, 232) על rgb(255, 255, 255) · offset 2px | ✅ |
| light | מסך הכניסה | שם משתמש במסך הכניסה — **בקרה** (‎outline:none‎) | לפני | — | 1.60 | 1.03 | **1.60** | 0px | פיקסלים כן זזו — ולכן ‎diff‎ לבדו אינו מודד את זה | ✅ |
| dark | ספריית קישורים | שם הקישור | הסימון | 7.12 | 1.06 | 1.12 | **7.12** | 2px | טבעת rgb(126, 166, 255) על rgb(19, 28, 46) · offset 2px | ✅ |
| dark | ספריית קישורים | שם הקישור — **בקרה** (‎outline:none‎) | לפני | — | 1.06 | 1.12 | **1.12** | 0px | פיקסלים כן זזו — ולכן ‎diff‎ לבדו אינו מודד את זה | ✅ |
| dark | ספריית קישורים | תיבת הדומיין החדש (‎.hl-new‎) | הסימון | 7.12 | 1.06 | 1.12 | **7.12** | 2px | טבעת rgb(126, 166, 255) על rgb(19, 28, 46) · offset 2px | ✅ |
| dark | ספריית קישורים | תיבת הדומיין החדש (‎.hl-new‎) — **בקרה** (‎outline:none‎) | לפני | — | 1.06 | 1.12 | **1.12** | 0px | פיקסלים כן זזו — ולכן ‎diff‎ לבדו אינו מודד את זה | ✅ |
