stub on http://127.0.0.1:8841/console

| מצב | פקד | מה נבדק | סוג | הנמדד | הערה | |
|---|---|---|---|---|---|---|
| light | קישור הדילוג | הטבעת מוצהרת אצלנו ולא של הדפדפן | תיקון | solid 2px #7ea6ff · offset 2px | הגעה ב-1 הקשות · צפוי #7ea6ff | ✅ |
| light | קישור הדילוג | הטבעת אכן נצבעת ברצועה שמחוץ לפקד | תיקון | 448 פיקסלים בצבע #7ea6ff | התאמה מדויקת לצבע הטוקן, לא הפיקסל החזק ברצועה | ✅ |
| light | קישור הדילוג | ניגודיות הטבעת מול המשטח מאחוריה (1.4.11 ⇐ 3:1) | תיקון | 4.77:1 · #7ea6ff מול #2a3b51 | משטח מחושב (מורכב): #f5f7fb · הפיקסל החזק ברצועה: #ffffff ב-11.40:1 | ✅ |
| light | קישור הדילוג | **לפני** — טבעת ברירת המחדל של הדפדפן | לפני | auto 1px | חייב לעבור, אחרת לא היה כאן באג | ✅ |
| light | קישור הדילוג | **לפני** — מה הדפדפן צייר בפועל | ממצא | 11.40:1 · #ffffff | נמדד ולא נדרש: הערך אינו שלנו ואינו נקרא מ-getComputedStyle. פיקסלים בצבע הטוקן: 0 | ✅ |
| light | קישור ניווט (מה זה עושה) | הטבעת מוצהרת אצלנו ולא של הדפדפן | תיקון | solid 2px #7ea6ff · offset 2px | הגעה ב-1 הקשות · צפוי #7ea6ff | ✅ |
| light | קישור ניווט (מה זה עושה) | הטבעת אכן נצבעת ברצועה שמחוץ לפקד | תיקון | 488 פיקסלים בצבע #7ea6ff | התאמה מדויקת לצבע הטוקן, לא הפיקסל החזק ברצועה | ✅ |
| light | קישור ניווט (מה זה עושה) | ניגודיות הטבעת מול המשטח מאחוריה (1.4.11 ⇐ 3:1) | תיקון | 4.77:1 · #7ea6ff מול #2a3b51 | משטח מחושב (מורכב): #2b3b51 · הפיקסל החזק ברצועה: #7ea6ff ב-4.77:1 | ✅ |
| light | קישור ניווט (מה זה עושה) | **לפני** — טבעת ברירת המחדל של הדפדפן | לפני | auto 1px | חייב לעבור, אחרת לא היה כאן באג | ✅ |
| light | קישור ניווט (מה זה עושה) | **לפני** — מה הדפדפן צייר בפועל | ממצא | 11.40:1 · #ffffff | נמדד ולא נדרש: הערך אינו שלנו ואינו נקרא מ-getComputedStyle. פיקסלים בצבע הטוקן: 0 | ✅ |
| light | ‎.btn-ghost‎ בסרגל (כניסת לקוחות) | הטבעת מוצהרת אצלנו ולא של הדפדפן | תיקון | solid 2px #7ea6ff · offset 2px | הגעה ב-4 הקשות · צפוי #7ea6ff | ✅ |
