stub on http://127.0.0.1:8817/console
[light] הוראות הפעלה · הטקסט סביב הקישור: rgb(92, 106, 128) 16px/400
[dark] הוראות הפעלה · הטקסט סביב הקישור: rgb(154, 168, 191) 16px/400

| מצב | מסך | מה נמדד | נדרש | ‎text-decoration-line‎ | צבע הטקסט | צבע הקו | היסט | סוג | |
|---|---|---|---|---|---|---|---|---|---|
| light | הוראות הפעלה | הקישור למדריך המשתמש — "📄 מדריך המשתמש המלא (רקע מורח" | underline | `underline` | `rgb(42, 97, 232)` | `rgb(42, 97, 232)` | 3.2px | טקסט רץ | ✅ |
| light | הוספת מכשיר | קישור ההתקנה בתוך .alert-ok — "https://kiosk.more30.com/kiosk" | underline | `underline` | `rgb(31, 79, 216)` | `rgb(31, 79, 216)` | 2.8px | טקסט רץ, ‎break-all‎ | ✅ |
| light | הוספת מכשיר | כפתור "העתקת הקישור" לידו — "העתקת הקישור" | none | `none` | `rgb(31, 79, 216)` | `rgb(31, 79, 216)` | auto | כפתור | ✅ |
| light | מסך הכניסה | הקישור "חזרה לאתר" — "← חזרה לאתר" | underline | `underline` | `rgb(42, 97, 232)` | `rgb(42, 97, 232)` | 3.2px | טקסט רץ | ✅ |
| light | סרגל הצד | פריט ניווט נבחר — "🖥️ המכשירים שלי" | none | `none` | `rgb(184, 198, 221)` | `rgb(184, 198, 221)` | auto | ניווט | ✅ |
| light | סרגל הצד | כפתור התנתקות — "התנתקות" | none | `none` | `rgb(255, 255, 255)` | `rgb(255, 255, 255)` | auto | כפתור | ✅ |
| light | הוראות הפעלה | הקישור למדריך — **לפני** (‎a{text-decoration:none}‎) | underline | `none` | `—` | `—` | — | בקרת שפיות, אמורה ליפול | ❌ |
| light | דף השיווק | קישור הדילוג לתוכן — "דילוג לתוכן הראשי" | none | `none` | `rgb(255, 255, 255)` | `rgb(255, 255, 255)` | auto | ניווט | ✅ |
| light | דף השיווק | פריט בסרגל הניווט — "מה זה עושה" | none | `none` | `rgb(205, 216, 234)` | `rgb(205, 216, 234)` | auto | ניווט | ✅ |
| light | דף השיווק | "כניסת לקוחות" — "כניסת לקוחות" | none | `none` | `rgb(205, 216, 234)` | `rgb(205, 216, 234)` | auto | כפתור | ✅ |
| light | דף השיווק | כפתור בכרטיס מחיר (אחרי ‎<ul><li>‎) — "התחלה" | none | `none` | `rgb(31, 79, 216)` | `rgb(31, 79, 216)` | auto | כפתור | ✅ |
| light | דף השיווק | הקישור ל-more30.com בפוטר — "more30.com" | underline | `underline` | `rgb(159, 178, 208)` | `rgb(159, 178, 208)` | 3.2px | טקסט רץ | ✅ |
| dark | הוראות הפעלה | הקישור למדריך המשתמש — "📄 מדריך המשתמש המלא (רקע מורח" | underline | `underline` | `rgb(126, 166, 255)` | `rgb(126, 166, 255)` | 3.2px | טקסט רץ | ✅ |
| dark | הוספת מכשיר | קישור ההתקנה בתוך .alert-ok — "https://kiosk.more30.com/kiosk" | underline | `underline` | `rgb(31, 79, 216)` | `rgb(31, 79, 216)` | 2.8px | טקסט רץ, ‎break-all‎ | ✅ |
| dark | הוספת מכשיר | כפתור "העתקת הקישור" לידו — "העתקת הקישור" | none | `none` | `rgb(31, 79, 216)` | `rgb(31, 79, 216)` | auto | כפתור | ✅ |
| dark | מסך הכניסה | הקישור "חזרה לאתר" — "← חזרה לאתר" | underline | `underline` | `rgb(126, 166, 255)` | `rgb(126, 166, 255)` | 3.2px | טקסט רץ | ✅ |
| dark | סרגל הצד | פריט ניווט נבחר — "🖥️ המכשירים שלי" | none | `none` | `rgb(184, 198, 221)` | `rgb(184, 198, 221)` | auto | ניווט | ✅ |
| dark | סרגל הצד | כפתור התנתקות — "התנתקות" | none | `none` | `rgb(255, 255, 255)` | `rgb(255, 255, 255)` | auto | כפתור | ✅ |
| dark | הוראות הפעלה | הקישור למדריך — **לפני** (‎a{text-decoration:none}‎) | underline | `none` | `—` | `—` | — | בקרת שפיות, אמורה ליפול | ❌ |
| dark | דף השיווק | קישור הדילוג לתוכן — "דילוג לתוכן הראשי" | none | `none` | `rgb(255, 255, 255)` | `rgb(255, 255, 255)` | auto | ניווט | ✅ |
| dark | דף השיווק | פריט בסרגל הניווט — "מה זה עושה" | none | `none` | `rgb(205, 216, 234)` | `rgb(205, 216, 234)` | auto | ניווט | ✅ |
| dark | דף השיווק | "כניסת לקוחות" — "כניסת לקוחות" | none | `none` | `rgb(205, 216, 234)` | `rgb(205, 216, 234)` | auto | כפתור | ✅ |
| dark | דף השיווק | כפתור בכרטיס מחיר (אחרי ‎<ul><li>‎) — "התחלה" | none | `none` | `rgb(31, 79, 216)` | `rgb(31, 79, 216)` | auto | כפתור | ✅ |
| dark | דף השיווק | הקישור ל-more30.com בפוטר — "more30.com" | underline | `underline` | `rgb(159, 178, 208)` | `rgb(159, 178, 208)` | 3.2px | טקסט רץ | ✅ |

22/24 עוברים. 2 שורות בקרה (אמורות ליפול): 2 נפלו.
