stub on http://127.0.0.1:8826/console

| מצב | קבוצה | הפריט | סוג | הנמדד | הערה | |
|---|---|---|---|---|---|---|
| light | מסלול ה-Tab | 🖥️ המכשירים שלי | אחרי | עצירה #1 מתוך 37 |  | ✅ |
| light | מסלול ה-Tab | 🔗 ספריית קישורים | אחרי | עצירה #2 מתוך 37 |  | ✅ |
| light | מסלול ה-Tab | 🆔 מזהי לקוח | אחרי | עצירה #3 מתוך 37 |  | ✅ |
| light | מסלול ה-Tab | ➕ הוספת מכשיר | אחרי | עצירה #4 מתוך 37 |  | ✅ |
| light | מסלול ה-Tab | 📖 הוראות הפעלה | אחרי | עצירה #5 מתוך 37 |  | ✅ |
| light | מסלול ה-Tab | ⚙️ הגדרות | אחרי | עצירה #6 מתוך 37 |  | ✅ |
| light | מסלול ה-Tab | 🚪 התנתקות | אחרי | עצירה #7 מתוך 37 |  | ✅ |
| light | מסלול ה-Tab | סדר הפריטים כסדר ה-DOM (2.4.3) | אחרי | 0 → 1 → 2 → 3 → 4 → 5 → 6 |  | ✅ |
| light | הפעלה מהמקלדת | Enter על links | אחרי | מיקוד nav:links → מסך פעיל links |  | ✅ |
| light | הפעלה מהמקלדת | Space על clients | אחרי | מיקוד nav:clients → מסך פעיל clients |  | ✅ |
| light | סימון המיקוד | 🖥️ המכשירים שלי | אחרי | טבעת 7.29 · מילוי 1.00 · **7.29** | rgb(126, 166, 255) על rgb(7, 26, 51) · 2px · offset 2px · 1 הקשות | ✅ |
| light | סימון המיקוד | 🔗 ספריית קישורים | אחרי | טבעת 7.29 · מילוי — · **7.29** | rgb(126, 166, 255) על rgb(7, 26, 51) · 2px · offset 2px · 2 הקשות | ✅ |
| light | סימון המיקוד | 🆔 מזהי לקוח | אחרי | טבעת 7.29 · מילוי — · **7.29** | rgb(126, 166, 255) על rgb(7, 26, 51) · 2px · offset 2px · 3 הקשות | ✅ |
| light | סימון המיקוד | ➕ הוספת מכשיר | אחרי | טבעת 7.29 · מילוי — · **7.29** | rgb(126, 166, 255) על rgb(7, 26, 51) · 2px · offset 2px · 4 הקשות | ✅ |
| light | סימון המיקוד | 📖 הוראות הפעלה | אחרי | טבעת 7.29 · מילוי — · **7.29** | rgb(126, 166, 255) על rgb(7, 26, 51) · 2px · offset 2px · 5 הקשות | ✅ |
| light | סימון המיקוד | ⚙️ הגדרות | אחרי | טבעת 7.29 · מילוי — · **7.29** | rgb(126, 166, 255) על rgb(7, 26, 51) · 2px · offset 2px · 6 הקשות | ✅ |
| light | בקרה — ‎<a>‎ בלי ‎href‎ | ההחלפה עצמה בוצעה | לפני | 8 הוחלפו · 0 כפתורים נותרו · 0 קיבלו מיקוד ב-‎focus()‎ |  | ✅ |
