stub on http://127.0.0.1:8836/console

| מצב | קבוצה | מה נבדק | סוג | הנמדד | הערה | |
|---|---|---|---|---|---|---|
| light | טעינה | הציור הראשון אינו לוקח פוקוס | בסיס | body | אין עדיין פוקוס לאף אחד, וגרירתו לכותרת הייתה מדלגת על הסרגל | ✅ |
| light | מסך ספריית קישורים | הפוקוס עבר לכותרת המסך | תיקון | h1 «ספריית קישורים» · tabindex=-1 |  | ✅ |
| light | מסך מזהי לקוח | הפוקוס עבר לכותרת המסך | תיקון | h1 «מזהי לקוח» · tabindex=-1 |  | ✅ |
| light | מסך הוספת מכשיר | הפוקוס עבר לכותרת המסך | תיקון | h1 «הוספת מכשיר» · tabindex=-1 |  | ✅ |
| light | מסך הוראות הפעלה | הפוקוס עבר לכותרת המסך | תיקון | h1 «הוראות הפעלה» · tabindex=-1 |  | ✅ |
| light | מסך הגדרות | הפוקוס עבר לכותרת המסך | תיקון | h1 «הגדרות» · tabindex=-1 |  | ✅ |
| light | מסך המכשירים שלי | הפוקוס עבר לכותרת המסך | תיקון | h1 «המכשירים שלי» · tabindex=-1 |  | ✅ |
| light | כפתור מתוך המסך | ‎➕ הוספת מכשיר‎ נהרס עם המסך | בסיס | נהרס | הגעה ב-2 הקשות; אחרת אין כאן דבר למדוד | ✅ |
| light | כפתור מתוך המסך | הפוקוס עבר לכותרת ולא ל-‎body‎ | תיקון | h1 «הוספת מכשיר» |  | ✅ |
| light | המשך המסלול | הקשה אחת מהכותרת נוחתת בתוך ‎#content‎ | תיקון | input «» · בתוך |  | ✅ |
| light | טבעת המיקוד | טבעת אחרי הגעה במקלדת | תיקון | solid 2px rgb(42, 97, 232) · offset 4px |  | ✅ |
| light | טבעת המיקוד | ניגודיות הטבעת מול המשטח שמאחוריה (1.4.11 ⇐ 3:1) | תיקון | 4.93:1 מול rgb(245, 247, 251) |  | ✅ |
| light | טבעת המיקוד | אין טבעת אחרי לחיצת עכבר | תיקון | פוקוס=true · none 0px |  | ✅ |
| light | ציור מחדש בתוך המסך | רענון הרשימה אינו גורר את הפוקוס לכותרת | תיקון | button «רענון» | הגעה ל-‎רענון‎ ב-1 הקשות | ✅ |
| light | בקרה — ההתנהגות הקודמת | הפוקוס נופל ל-‎body‎ | לפני | body | שורה זו חייבת לעבור, אחרת אין באג ואין מה לתקן | ✅ |
| light | בקרה — ההתנהגות הקודמת | לאן נוחתת ההקשה הבאה | ממצא | input «» · בתוך #content | נמדד ולא נטען: כרום שומר את נקודת ההתחלה במקום הצומת שנמחק | ✅ |
| dark | טעינה | הציור הראשון אינו לוקח פוקוס | בסיס | body | אין עדיין פוקוס לאף אחד, וגרירתו לכותרת הייתה מדלגת על הסרגל | ✅ |
| dark | מסך ספריית קישורים | הפוקוס עבר לכותרת המסך | תיקון | h1 «ספריית קישורים» · tabindex=-1 |  | ✅ |
| dark | מסך מזהי לקוח | הפוקוס עבר לכותרת המסך | תיקון | h1 «מזהי לקוח» · tabindex=-1 |  | ✅ |
| dark | מסך הוספת מכשיר | הפוקוס עבר לכותרת המסך | תיקון | h1 «הוספת מכשיר» · tabindex=-1 |  | ✅ |
| dark | מסך הוראות הפעלה | הפוקוס עבר לכותרת המסך | תיקון | h1 «הוראות הפעלה» · tabindex=-1 |  | ✅ |
| dark | מסך הגדרות | הפוקוס עבר לכותרת המסך | תיקון | h1 «הגדרות» · tabindex=-1 |  | ✅ |
| dark | מסך המכשירים שלי | הפוקוס עבר לכותרת המסך | תיקון | h1 «המכשירים שלי» · tabindex=-1 |  | ✅ |
| dark | כפתור מתוך המסך | ‎➕ הוספת מכשיר‎ נהרס עם המסך | בסיס | נהרס | הגעה ב-2 הקשות; אחרת אין כאן דבר למדוד | ✅ |
| dark | כפתור מתוך המסך | הפוקוס עבר לכותרת ולא ל-‎body‎ | תיקון | h1 «הוספת מכשיר» |  | ✅ |
| dark | המשך המסלול | הקשה אחת מהכותרת נוחתת בתוך ‎#content‎ | תיקון | input «» · בתוך |  | ✅ |
| dark | טבעת המיקוד | טבעת אחרי הגעה במקלדת | תיקון | solid 2px rgb(126, 166, 255) · offset 4px |  | ✅ |
| dark | טבעת המיקוד | ניגודיות הטבעת מול המשטח שמאחוריה (1.4.11 ⇐ 3:1) | תיקון | 7.83:1 מול rgb(11, 18, 32) |  | ✅ |
| dark | טבעת המיקוד | אין טבעת אחרי לחיצת עכבר | תיקון | פוקוס=true · none 0px |  | ✅ |
| dark | ציור מחדש בתוך המסך | רענון הרשימה אינו גורר את הפוקוס לכותרת | תיקון | button «רענון» | הגעה ל-‎רענון‎ ב-1 הקשות | ✅ |
| dark | בקרה — ההתנהגות הקודמת | הפוקוס נופל ל-‎body‎ | לפני | body | שורה זו חייבת לעבור, אחרת אין באג ואין מה לתקן | ✅ |
| dark | בקרה — ההתנהגות הקודמת | לאן נוחתת ההקשה הבאה | ממצא | input «» · בתוך #content | נמדד ולא נטען: כרום שומר את נקודת ההתחלה במקום הצומת שנמחק | ✅ |

32/32 עוברים. 2 שורות בקרה: 2 אישרו שההתנהגות הקודמת אכן הפילה את הפוקוס ל-body.

