stub on http://127.0.0.1:8809/console
[light] מזהי לקוח מאושרים · כתובת מול שם הלקוח: rgba(11, 18, 32, 1) 16px מול rgba(92, 106, 128, 1) 12px ✅
[light] מזהי לקוח מאושרים · מזהה מול שם הלקוח: rgba(11, 18, 32, 1) 16px מול rgba(92, 106, 128, 1) 13px ✅
[light] תיבת סימון מסומנת — ‎--accent-control‎ rgb(42, 97, 232) ✅
[light] קישורים מאושרים · כתובת מול שם הקישור: rgba(11, 18, 32, 1) 16px מול rgba(92, 106, 128, 1) 12px ✅
[dark] מזהי לקוח מאושרים · כתובת מול שם הלקוח: rgba(230, 235, 244, 1) 16px מול rgba(154, 168, 191, 1) 12px ✅
[dark] מזהי לקוח מאושרים · מזהה מול שם הלקוח: rgba(230, 235, 244, 1) 16px מול rgba(154, 168, 191, 1) 13px ✅
[dark] תיבת סימון מסומנת — ‎--accent-control‎ rgb(126, 166, 255) ✅
[dark] קישורים מאושרים · כתובת מול שם הקישור: rgba(230, 235, 244, 1) 16px מול rgba(154, 168, 191, 1) 12px ✅

| מצב | מסך | מה נמדד | קדמת | רקע | יחס | סף | גודל/משקל | |
|---|---|---|---|---|---|---|---|---|
| light | מזהי לקוח מאושרים | כותרת הדיאלוג — "מזהי לקוח מאושרים" | `rgba(11, 18, 32, 1)` | `rgb(255, 255, 255)` | **18.72:1** | 3:1 | 18.72px/700 | ✅ |
| light | מזהי לקוח מאושרים | שורת ההסבר מתחת לכותרת (--muted) — "מכשיר: כניסה ראשית. רק המזהים המסו" | `rgba(92, 106, 128, 1)` | `rgb(255, 255, 255)` | **5.49:1** | 4.5:1 | 16px/400 | ✅ |
| light | מזהי לקוח מאושרים | מונה "כמה מתוך כמה" (13px) — "1 מתוך 2 מאושרים" | `rgba(92, 106, 128, 1)` | `rgb(255, 255, 255)` | **5.49:1** | 4.5:1 | 13px/400 | ✅ |
| light | מזהי לקוח מאושרים | שם הלקוח — "אולם הדר" | `rgba(11, 18, 32, 1)` | `rgb(255, 255, 255)` | **18.72:1** | 4.5:1 | 16px/700 | ✅ |
| light | מזהי לקוח מאושרים | מזהה הלקוח (13px monospace) — "1234" | `rgba(92, 106, 128, 1)` | `rgb(245, 247, 251)` | **5.11:1** | 4.5:1 | 13px/400 | ✅ |
| light | מזהי לקוח מאושרים | כתובת האתר של הלקוח (12px) — "https://hadar.example.com" | `rgba(92, 106, 128, 1)` | `rgb(255, 255, 255)` | **5.49:1** | 4.5:1 | 12px/400 | ✅ |
| light | מזהי לקוח מאושרים | כפתור "סמן הכל" — "סמן הכל" | `rgba(31, 79, 216, 1)` | `rgb(238, 243, 255)` | **5.97:1** | 4.5:1 | 13px/600 | ✅ |
| light | מזהי לקוח מאושרים | כפתור "שמירה" — "שמירה" | `rgba(255, 255, 255, 1)` | `rgb(42, 97, 232)` | **5.28:1** | 4.5:1 | 15px/600 | ✅ |
| light | מזהי לקוח מאושרים | כפתור "ביטול" — "ביטול" | `rgba(31, 79, 216, 1)` | `rgb(238, 243, 255)` | **5.97:1** | 4.5:1 | 15px/600 | ✅ |
| light | מזהי לקוח מאושרים | שורת "לקוח מושבת" (--warn-ink) — "⛔ הלקוח מושבת — לא יעלה על המכשיר " | `rgba(180, 83, 9, 1)` | `rgb(255, 255, 255)` | **5.02:1** | 4.5:1 | 12px/400 | ✅ |
| light | מזהי לקוח מאושרים | הערת הדומיינים מתחת לרשימה (12px) — "הדומיינים של הלקוחות שתאשרו יתווספ" | `rgba(92, 106, 128, 1)` | `rgb(255, 255, 255)` | **5.49:1** | 4.5:1 | 12px/400 | ✅ |
| light | מזהי לקוח מאושרים | גבול תיבת הסימון (מסומנת) — הפיקסל הקיצוני בתיבה | `rgb(42, 97, 232)` | `rgb(255, 255, 255)` | **5.28:1** | 3:1 | 1.4.11, דגימה | ✅ |
| light | מזהי לקוח מאושרים | גבול תיבת הסימון (לא מסומנת) — הפיקסל הקיצוני בתיבה | `rgb(118, 118, 118)` | `rgb(255, 255, 255)` | **4.54:1** | 3:1 | 1.4.11, דגימה | ✅ |
| light | מזהי לקוח מאושרים | גבול תיבת הסימון (מסומנת) — **לפני**, ברירת המחדל של הדפדפן | `rgb(0, 117, 255)` | `rgb(255, 255, 255)` | **4.21:1** | 3:1 | עבר גם לפני — הבעיה היא הגוון | ✅ |
| light | קישורים מאושרים | כותרת הדיאלוג — "קישורים מאושרים" | `rgba(11, 18, 32, 1)` | `rgb(255, 255, 255)` | **18.72:1** | 3:1 | 18.72px/700 | ✅ |
| light | קישורים מאושרים | שורת ההסבר מתחת לכותרת (--muted) — "מכשיר: כניסה ראשית. רק הקישורים המ" | `rgba(92, 106, 128, 1)` | `rgb(255, 255, 255)` | **5.49:1** | 4.5:1 | 16px/400 | ✅ |
| light | קישורים מאושרים | מונה "כמה מתוך כמה" (13px) — "1 מתוך 1 מאושרים" | `rgba(92, 106, 128, 1)` | `rgb(255, 255, 255)` | **5.49:1** | 4.5:1 | 13px/400 | ✅ |
| light | קישורים מאושרים | שם הקישור — "אולם הדר — חתונה 12/8" | `rgba(11, 18, 32, 1)` | `rgb(255, 255, 255)` | **18.72:1** | 4.5:1 | 16px/700 | ✅ |
