stub on http://127.0.0.1:8806/console
[light] כרטיס המכשיר — S/N נשאר rgb(92, 106, 128) 12px monospace ✅
[light] הערה rgba(92, 106, 128, 1) 12px · שם rgba(11, 18, 32, 1) 14px ✅
[dark] כרטיס המכשיר — S/N נשאר rgb(154, 168, 191) 12px monospace ✅
[dark] הערה rgba(154, 168, 191, 1) 12px · שם rgba(230, 235, 244, 1) 14px ✅

| מצב | מסך | מה נמדד | קדמת | רקע | יחס | סף | גודל/משקל | |
|---|---|---|---|---|---|---|---|---|
| light | ספריית קישורים | כותרת המסך — "ספריית קישורים" | `rgba(11, 18, 32, 1)` | `rgb(245, 247, 251)` | **17.46:1** | 3:1 | 26px/700 | ✅ |
| light | ספריית קישורים | כותרת הכרטיס — "קישור חדש" | `rgba(11, 18, 32, 1)` | `rgb(255, 255, 255)` | **18.72:1** | 3:1 | 18.72px/700 | ✅ |
| light | ספריית קישורים | פסקת ההסבר (--muted) — "שמרו כאן את הקישורים הספציפיים של " | `rgba(92, 106, 128, 1)` | `rgb(255, 255, 255)` | **5.49:1** | 4.5:1 | 16px/400 | ✅ |
| light | ספריית קישורים | תווית שדה (--label-ink) — "שם הקישור" | `rgba(51, 69, 95, 1)` | `rgb(255, 255, 255)` | **9.73:1** | 4.5:1 | 13px/600 | ✅ |
| light | ספריית קישורים | כותרת עמודה בטבלה (--muted 13px) — "שם" | `rgba(92, 106, 128, 1)` | `rgb(255, 255, 255)` | **5.49:1** | 4.5:1 | 13px/600 | ✅ |
| light | ספריית קישורים | שם הקישור בטבלה — "אולם הדר — חתונה 12/8" | `rgba(11, 18, 32, 1)` | `rgb(255, 255, 255)` | **18.72:1** | 4.5:1 | 14px/700 | ✅ |
| light | ספריית קישורים | כתובת הקישור (12px) — "https://hadar.example.com/event/12" | `rgba(11, 18, 32, 1)` | `rgb(255, 255, 255)` | **18.72:1** | 4.5:1 | 12px/400 | ✅ |
| light | ספריית קישורים | אין דומיינים — הודעת האזהרה — "אין דומיינים ברשימה — המכשיר יוכל " | `rgba(180, 83, 9, 1)` | `rgb(255, 251, 235)` | **4.84:1** | 4.5:1 | 13px/400 | ✅ |
| light | ספריית קישורים | כפתור "שמור קישור" — "שמור קישור" | `rgba(255, 255, 255, 1)` | `rgb(42, 97, 232)` | **5.28:1** | 4.5:1 | 15px/600 | ✅ |
| light | ספריית קישורים | כפתור "מחק" — "מחק" | `rgba(185, 28, 28, 1)` | `rgb(254, 226, 226)` | **5.30:1** | 4.5:1 | 13px/600 | ✅ |
| light | ספריית קישורים | טקסט בשדה קלט | `rgba(11, 18, 32, 1)` | `rgb(251, 252, 254)` | **18.24:1** | 4.5:1 | 15px/400 | ✅ |
| light | ספריית קישורים | טקסט מציין (placeholder) בשדה | `rgb(92, 106, 128)` | `rgb(251, 252, 254)` | **5.34:1** | 4.5:1 | 15px/400 | ✅ |
| light | ספריית קישורים | מסגרת השדה מול הכרטיס | `rgb(133, 142, 158)` | `rgb(255, 255, 255)` | **3.30:1** | 3:1 | 1.4.11 | ✅ |
| light | ספריית קישורים | מסגרת השדה מול מילוי השדה | `rgb(133, 142, 158)` | `rgb(251, 252, 254)` | **3.22:1** | 3:1 | 1.4.11 | ✅ |
| light | מזהי לקוח | כותרת המסך — "מזהי לקוח" | `rgba(11, 18, 32, 1)` | `rgb(245, 247, 251)` | **17.46:1** | 3:1 | 26px/700 | ✅ |
| light | מזהי לקוח | כותרת עמודה בטבלה (--muted 13px) — "מזהה" | `rgba(92, 106, 128, 1)` | `rgb(255, 255, 255)` | **5.49:1** | 4.5:1 | 13px/600 | ✅ |
| light | מזהי לקוח | מזהה הלקוח (code-chip @15px) — "1234" | `rgba(42, 97, 232, 1)` | `rgb(238, 243, 255)` | **4.76:1** | 4.5:1 | 15px/700 | ✅ |
| light | מזהי לקוח | שם הלקוח — "אולם הדר" | `rgba(11, 18, 32, 1)` | `rgb(255, 255, 255)` | **18.72:1** | 4.5:1 | 14px/700 | ✅ |
| light | מזהי לקוח | ההערה הפנימית מתחת לשם — "משלם מראש — לחדש ב-1/9" | `rgba(92, 106, 128, 1)` | `rgb(255, 255, 255)` | **5.49:1** | 4.5:1 | 12px/400 | ✅ |
| light | מזהי לקוח | עמודת הסטטוס — "✅ פעיל" | `rgba(11, 18, 32, 1)` | `rgb(255, 255, 255)` | **18.72:1** | 4.5:1 | 14px/400 | ✅ |
| light | מזהי לקוח | כפתור "עריכה" — "עריכה" | `rgba(31, 79, 216, 1)` | `rgb(238, 243, 255)` | **5.97:1** | 4.5:1 | 13px/600 | ✅ |
| light | מזהי לקוח | כפתור "מחק" — "מחק" | `rgba(185, 28, 28, 1)` | `rgb(254, 226, 226)` | **5.30:1** | 4.5:1 | 13px/600 | ✅ |
| light | מזהי לקוח | שורת לקוח מושבת — "⛔ מושבת" | `rgba(11, 18, 32, 1)` | `rgb(255, 255, 255)` | **18.72:1** | 4.5:1 | 14px/400 | ✅ |
| light | מזהי לקוח | כותרת עמודה — ערך פסול שהוזרק (בקרת שפיות) | `rgb(185, 195, 212)` | `rgb(255, 255, 255)` | **1.78:1** | 4.5:1 |  | ❌ |
| dark | ספריית קישורים | כותרת המסך — "ספריית קישורים" | `rgba(230, 235, 244, 1)` | `rgb(11, 18, 32)` | **15.65:1** | 3:1 | 26px/700 | ✅ |
| dark | ספריית קישורים | כותרת הכרטיס — "קישור חדש" | `rgba(230, 235, 244, 1)` | `rgb(19, 28, 46)` | **14.23:1** | 3:1 | 18.72px/700 | ✅ |
| dark | ספריית קישורים | פסקת ההסבר (--muted) — "שמרו כאן את הקישורים הספציפיים של " | `rgba(154, 168, 191, 1)` | `rgb(19, 28, 46)` | **7.08:1** | 4.5:1 | 16px/400 | ✅ |
| dark | ספריית קישורים | תווית שדה (--label-ink) — "שם הקישור" | `rgba(195, 207, 227, 1)` | `rgb(19, 28, 46)` | **10.83:1** | 4.5:1 | 13px/600 | ✅ |
| dark | ספריית קישורים | כותרת עמודה בטבלה (--muted 13px) — "שם" | `rgba(154, 168, 191, 1)` | `rgb(19, 28, 46)` | **7.08:1** | 4.5:1 | 13px/600 | ✅ |
| dark | ספריית קישורים | שם הקישור בטבלה — "אולם הדר — חתונה 12/8" | `rgba(230, 235, 244, 1)` | `rgb(19, 28, 46)` | **14.23:1** | 4.5:1 | 14px/700 | ✅ |
| dark | ספריית קישורים | כתובת הקישור (12px) — "https://hadar.example.com/event/12" | `rgba(230, 235, 244, 1)` | `rgb(19, 28, 46)` | **14.23:1** | 4.5:1 | 12px/400 | ✅ |
| dark | ספריית קישורים | אין דומיינים — הודעת האזהרה — "אין דומיינים ברשימה — המכשיר יוכל " | `rgba(245, 158, 11, 1)` | `rgb(46, 37, 16)` | **7.04:1** | 4.5:1 | 13px/400 | ✅ |
| dark | ספריית קישורים | כפתור "שמור קישור" — "שמור קישור" | `rgba(255, 255, 255, 1)` | `rgb(42, 97, 232)` | **5.28:1** | 4.5:1 | 15px/600 | ✅ |
| dark | ספריית קישורים | כפתור "מחק" — "מחק" | `rgba(185, 28, 28, 1)` | `rgb(254, 226, 226)` | **5.30:1** | 4.5:1 | 13px/600 | ✅ |
| dark | ספריית קישורים | טקסט בשדה קלט | `rgba(230, 235, 244, 1)` | `rgb(13, 22, 38)` | **15.13:1** | 4.5:1 | 15px/400 | ✅ |
| dark | ספריית קישורים | טקסט מציין (placeholder) בשדה | `rgb(154, 168, 191)` | `rgb(13, 22, 38)` | **7.52:1** | 4.5:1 | 15px/400 | ✅ |
| dark | ספריית קישורים | מסגרת השדה מול הכרטיס | `rgb(97, 112, 143)` | `rgb(19, 28, 46)` | **3.42:1** | 3:1 | 1.4.11 | ✅ |
| dark | ספריית קישורים | מסגרת השדה מול מילוי השדה | `rgb(97, 112, 143)` | `rgb(13, 22, 38)` | **3.64:1** | 3:1 | 1.4.11 | ✅ |
| dark | מזהי לקוח | כותרת המסך — "מזהי לקוח" | `rgba(230, 235, 244, 1)` | `rgb(11, 18, 32)` | **15.65:1** | 3:1 | 26px/700 | ✅ |
| dark | מזהי לקוח | כותרת עמודה בטבלה (--muted 13px) — "מזהה" | `rgba(154, 168, 191, 1)` | `rgb(19, 28, 46)` | **7.08:1** | 4.5:1 | 13px/600 | ✅ |
| dark | מזהי לקוח | מזהה הלקוח (code-chip @15px) — "1234" | `rgba(42, 97, 232, 1)` | `rgb(238, 243, 255)` | **4.76:1** | 4.5:1 | 15px/700 | ✅ |
| dark | מזהי לקוח | שם הלקוח — "אולם הדר" | `rgba(230, 235, 244, 1)` | `rgb(19, 28, 46)` | **14.23:1** | 4.5:1 | 14px/700 | ✅ |
| dark | מזהי לקוח | ההערה הפנימית מתחת לשם — "משלם מראש — לחדש ב-1/9" | `rgba(154, 168, 191, 1)` | `rgb(19, 28, 46)` | **7.08:1** | 4.5:1 | 12px/400 | ✅ |
| dark | מזהי לקוח | עמודת הסטטוס — "✅ פעיל" | `rgba(230, 235, 244, 1)` | `rgb(19, 28, 46)` | **14.23:1** | 4.5:1 | 14px/400 | ✅ |
| dark | מזהי לקוח | כפתור "עריכה" — "עריכה" | `rgba(31, 79, 216, 1)` | `rgb(238, 243, 255)` | **5.97:1** | 4.5:1 | 13px/600 | ✅ |
| dark | מזהי לקוח | כפתור "מחק" — "מחק" | `rgba(185, 28, 28, 1)` | `rgb(254, 226, 226)` | **5.30:1** | 4.5:1 | 13px/600 | ✅ |
| dark | מזהי לקוח | שורת לקוח מושבת — "⛔ מושבת" | `rgba(230, 235, 244, 1)` | `rgb(19, 28, 46)` | **14.23:1** | 4.5:1 | 14px/400 | ✅ |
| dark | מזהי לקוח | כותרת עמודה — ערך פסול שהוזרק (בקרת שפיות) | `rgb(42, 53, 80)` | `rgb(19, 28, 46)` | **1.40:1** | 4.5:1 |  | ❌ |

46/48 עוברים. 2 שורות בקרה (אמורות ליפול): 2 נפלו.
