מס' קטלוגי,קטגוריה,תת-קטגוריה,נושא / זכות,קהל יעד,תיאור הזכות,טווח הטבה,כללית,מכבי,מאוחדת,לאומית,הקופה המשתלמת,מקור
935,משרד הבריאות,מכשירי שיקום וניידות,"כיסאות גלגלים, הליכונים ואביזרי ניידות — מימון דרך קופות החולים (בהנחיית משרד הבריאות)","כל מבוטח בקופת חולים הזקוק למכשיר ניידות או שיקום עקב מגבלה תפקודית, נכות, אשפוז או מחלה. כיסא ממונע מאושר עד גיל 70 כברירת מחדל; מעל גיל 70 — רק בוועדת חריגים. ילדים ונוער עד גיל 18 — פטורים מהשתתפות עצמית לרוב מכשירי הניידות (למעט זחליל). ניצולי שואה — פטורים מלאים. תותבות עין ותותבות שד — ניתנות ללא השתתפות עצמית לכלל הגילאים.","מי שזקוק לכיסא גלגלים, הליכון, מיטה מוגבהת או ציוד שיקום אחר — יכול לקבל אותו במימון קופת החולים שלו.","הטבה/מימון בין 609 ל-21,139 ₪","זהב · PROG09 · החזר 80% מההוצאה בפועל, עד ₪603 לביקור, אצל מומחה פרטי שאינו ברשימת כללית מושלם (פרק ה׳, סעיף 1 — תקנון כללית מושלם זהב) | השתתפות עצמית של ₪150 לביקור אצל רופא מומחה יועץ בהסדר (שאינו שר""פ הדסה); השתתפות עצמית של ₪250 לביקור בשר""פ הדסה (פרק ה׳, סעיף 1 — תקנון כללית מושלם זהב)

פלטינום · PROG10 · אין מידע — מומלץ לבדוק (הפלטינום אינו מרחיב את מסלול ההחזר לייעוץ, מכיוון שהוא כיסוי משלים לזהב בלבד) | כנ""ל — הפלטינום אינו מוסיף הנחה נוספת לסעיף זה; ראה פרק ח׳ סעיף 1 בתקנון פלטינום: פלטינום מפחית השתתפות עצמית בסקירות מערכות: ₪57 במקום ₪114 (תקנון פלטינום פרק ח׳ סעיף 1)","כסף · PROG14 · אין מידע — מומלץ לבדוק

זהב · PROG15 · אין מידע — מומלץ לבדוק

שלי · PROG16 · אין מידע — מומלץ לבדוק","עדיף · PROG19 · אין מידע — מומלץ לבדוק

שיא · PROG20 · אין מידע — מומלץ לבדוק","כסף · PROG24 · אין מידע — מומלץ לבדוק

זהב · PROG25 · אין מידע — מומלץ לבדוק",,
936,משרד הבריאות,מכשירי שמיעה,מימון מכשירי שמיעה — ילדים ומבוגרים בסל הבריאות,"כל מבוטח בקופת חולים עם ירידת שמיעה מאובחנת:
• מבוגרים מגיל 18 ומעלה: מכשיר שמיעה אחד לכל אוזן, אחת ל-3.5 שנים.
• ילדים עד גיל 6: אחת ל-3 שנים לאוזן.
• ילדים גיל 6–18: אחת ל-4 שנים לאוזן.
• ילדים עד גיל 6: מערכת FM אחת; גיל 6–18: מערכת FM אחת ל-4 שנים.",מי שיש לו ירידת שמיעה יכול לקבל מכשיר שמיעה במימון קופת החולים.,"הטבה/מימון בין 3,427 ל-6,854 ₪",,,,,,
937,משרד הבריאות,שיקום רפואי,"אשפוז שיקומי — גריאטרי, נוירולוגי, אורתופדי","כל חולה שאושפז ועבר אירוע רפואי חד (שבץ מוחי, שבר ירך, ניתוח, נזק מוחי, ניתוח לב) ואינו יכול לחזור לביתו ישירות בשל מגבלות תנועה, קוגניציה, דיבור או יכולת עצמאות. ללא הגבלת גיל עליונה.","מי שעבר שבץ, שבר ירך, ניתוח גדול או פגיעה מוחית — יכול לקבל אשפוז שיקומי עד 3 חודשים בחינם דרך קופת החולים.",,,,,,,
938,משרד הבריאות,אשפוז סיעודי,"אשפוז סיעודי רגיל (""קוד"") — מימון ממשרד הבריאות עם השתתפות עצמית לפי הכנסה","מי שאינו יכול לחיות בביתו ומצבו דורש אשפוז סיעודי (כלומר — אינו מסוגל לטיפול קהילתי ואינו עומד בתנאי 'סיעודי מורכב' של הקופה), ובמיוחד קשישים עם תלות גבוהה הדורשים השגחה רפואית מתמדת. אשפוז סיעודי מורכב (קשה יותר) — אחריות קופות החולים.",מי שמצבו הרפואי דורש טיפול סיעודי מוסדי ולא ניתן לטפל בו בבית — יכול לפנות להצבה במוסד סיעודי בפיקוח משרד הבריאות.,הטבה/מימון עד 73 ₪,,,,,,
939,משרד הבריאות,ועדות חריגים,ועדת חריגים לתרופות וטיפולים מחוץ לסל הבריאות,"כל מבוטח בקופת חולים הזקוק לתרופה שאינה בסל הבריאות, לתרופה בהוויה off-label (שלא לפי ההתוויה הרשמית), לטיפול ניסיוני או לשירות רפואי שאינו בסל, ומוכן לבקש זאת. אין חובה שהמצב יהיה מסכן חיים — כל 'מקרה קשה' מספיק.",לכל קופת חולים יש ועדת חריגים שיכולה לאשר מימון לתרופה שאינה בסל הבריאות.,,,,,,,
940,משרד הבריאות,בריאות הנפש,שירותי בריאות הנפש בקהילה — רפורמת 2015,"כל מבוטח הזקוק לטיפול נפשי: ילדים, מתבגרים ומבוגרים עם חרדה, דיכאון, הפרעת דו-קוטבית, פסיכוזה, טיפול PTSD, OCD, בעיות נפשיות אחרות. גם מי שמאושפז בבית חולים פסיכיאטרי — ממשיך להיות מטופל תחת אחריות הקופה.","מאז 2015 כל שירותי בריאות הנפש בישראל ניתנים דרך קופות החולים, בתשלום מופחת.",הטבה/מימון בין 69 ל-186 ₪,,,,,,
941,משרד הבריאות,שיקום בריאות הנפש,סל שיקום למתמודדי נפש — משרד הבריאות,"אנשים מגיל 18 ומעלה עם נכות נפשית בשיעור 40% ומעלה (מביטוח לאומי או מפסיכיאטר מוסמך), הזקוקים לסיוע בשיקום קהילתי: דיור, תעסוקה, חינוך, פנאי, שילוב חברתי.","אנשים עם נכות נפשית מ-40% ומעלה זכאים לסל שיקום ממשרד הבריאות: דיור, עבודה, חינוך, פנאי ושילוב חברתי — הכל ממומן.",,,,,,,
942,משרד הבריאות,בריאות ילד,טיפת חלב — שירות בריאות המשפחה מלידה עד גיל 6,"כל ילד מלידה ועד גיל 6 הרשום בטיפת חלב — השירות אוניברסלי וחינמי לכל משפחה בישראל, ללא קשר לביטוח רפואי.",טיפת חלב היא שירות חינמי של משרד הבריאות לכל ילד מלידה עד גיל 6.,,,,,,,
943,משרד הבריאות,חיסונים,לוח החיסונים הלאומי לתינוקות וילדים — חינם לכל ילד,כל ילד מלידה עד תיכון — חיסונים ניתנים חינם לפי לוח קבוע. חיסון RSV (Beyfortus/Nirsevimab): תינוקות שנולדו 1.8–31.3 — בבית החולים; 1.4–31.7 — בטיפת חלב. בסיכון גבוה: מנה שנייה.,כל ילד בישראל זכאי לקבל את כל החיסונים לפי לוח הלאומי בחינם מוחלט.,,,,,,,
944,משרד הבריאות,פינוי רפואי,"פינוי באמבולנס מד""א — מי משלם ומתי","כל מי שנפנה באמבולנס של מד""א — בין אם אושפז ובין אם לאו. הכיסוי שונה לפי אם המטופל אושפז, סוג האמבולנס ואבחנה.",פינוי באמבולנס שהסתיים באשפוז — ממומן לחלוטין על ידי קופת החולים.,,,,,,,
