מס' קטלוגי,קטגוריה,תת-קטגוריה,נושא / זכות,קהל יעד,תיאור הזכות,טווח הטבה,כללית,מכבי,מאוחדת,לאומית,הקופה המשתלמת,מקור
1000,השאלת ציוד רפואי,"ציוד שיקומי, מוקד חירום, הסעות, שירותי בית",יד שרה (Yad Sarah),"כלל הציבור — חולים, נכים, קשישים, יולדות, ילדים עם מוגבלויות. השירות ניתן לכל פונה ללא הבדל גיל, דת, מין או מוצא.","יד שרה היא אגודת המתנדבים הגדולה בישראל, המשאילה מעל 150 סוגי ציוד רפואי בחינם מ-119 סניפים ברחבי הארץ — מכסאות גלגלים ועד מחוללי חמצן.",,,,,,,
1001,סיוע רפואי מקיף,"השאלת ציוד, הסעות, תמיכה בחולי סרטן, מאגר מח עצם, סיעוד קשישים",עזר מציון (Ezer Mizion),"כלל האוכלוסייה ללא הבדל גזע, דת ומין — חולים, מוגבלי תנועה, חולי סרטן, קשישים, חולי דמנציה, ילדים עם צרכים מיוחדים, ניצולי שואה.","עזר מציון היא העמותה הגדולה ביותר לסיוע רפואי בישראל עם 40 סניפים, המציעה השאלת ציוד, הסעות חינמיות לחולים, תמיכה מקיפה לחולי סרטן, מאגר מח עצם לאומי, וטיפול בקשישים.",,,,,,,
1002,תמיכה בחולי סרטן,ילדים ונוער חולי סרטן 0-25,זכרון מנחם (Zichron Menachem),"ילדים, בני נוער וצעירים חולי סרטן בגילאי 0-25 הנמצאים בטיפול אקטיבי או עד שנה לאחר סיום הטיפולים, ובני משפחותיהם. תושבי כל ישראל ללא הבדל דת ומין.","זכרון מנחם מלווה ילדים ונוער חולי סרטן בגילאי 0-25 ומשפחותיהם בתמיכה רגשית, חינוכית ורפואית — ממחנות נופש ועד ספא, מרפאת ייעוץ ומאגר תורמי מח עצם.",,,,,,,
1003,תמיכה בחולי סרטן,ילדים חולי סרטן — נוכחות פיזית במחלקות,רחשי לב (Rachashei Lev),"ילדים חולי סרטן ובני משפחותיהם בבתי החולים שיבא תל השומר ואיכילוב. כלל הציבור ללא הבדלי דת, גזע ומין.","רחשי לב פועלת 24/7 במחלקות האונקולוגיות לילדים בשיבא ואיכילוב, מספקת ארוחות חמות, אירוח משפחות, ציוד רפואי, ימי כיף וסיוע במיצוי זכויות לילדים חולי סרטן.",,,,,,,
1004,ייעוץ והכוונה רפואיים,"ייעוץ, אמבולנסים, ציוד, הטסת חולים",עזרה למרפא (Ezra LeMarpeh),"כלל הציבור — חולים, נכים ומוגבלים הזקוקים לייעוץ רפואי, הסעה, השאלת ציוד או הטסה לטיפול בחו""ל. הסניף הראשי בבני ברק; סניפים נוספים ברחבי הארץ.","עזרה למרפא מעניקה ייעוץ רפואי מקצועי (כולל ייעוץ ישיר עם הרב פירר), הסעות חינמיות באמבולנס, השאלת ציוד, ייבוא תרופות נדירות מחו""ל והטסת חולים לטיפול בעולם.",,,,,,,
1005,סיוע בתרופות,"תרופות לנזקקים, קרנות הצלה, ייעוץ משפטי",חברים לרפואה (Chaverim LeRefuah — Friends for Health),"חולים ונכים במצוקה כלכלית הזקוקים לתרופות שידם אינה משגת, כולל תרופות כרוניות, תרופות יקרות שאינן בסל הבריאות, ותרופות נדירות. ילדים חולים וחיילים.","חברים לרפואה היא הארגון הגדול ביותר בישראל להנגשת תרופות לנזקקים — מכינים בית מרקחת התנדבותי, פותחים קרנות הצלה אישיות, מייעצים משפטית למיצוי זכויות ומפעילים פנאי לילדים חולים.",,,,,,,
1006,סיוע הומניטרי — בריאות ומזון,"תרופות לחולים כרוניים, ביטחון תזונתי, ניצולי שואה",לתת (Latet),"משפחות ויחידים נזקקים בישראל — חולים כרוניים מיעוטי יכולת, ניצולי שואה, קשישים, משפחות במצוקה.","לתת הוא ארגון הגג ההומניטרי הגדול בישראל, המסייע לנזקקים ברכישת תרופות ומזון, תומך בניצולי שואה ובחולים כרוניים שידם אינה משגת לרכוש תרופות.",,,,,,,
1007,טיפול ושיקום לאנשים עם מוגבלויות,"ילדים עם מוגבלויות שכלית-התפתחותית, מרכז יום, שילוב בקהילה",שלוה — האגודה הישראלית לטיפול באנשים עם מוגבלויות ושילובם בחברה (Shalva),"ילדים, בני נוער ובוגרים עם מוגבלות שכלית-התפתחותית ואנשים עם מוגבלויות מורכבות ובני משפחותיהם. המרכז הלאומי בירושלים.","שלוה מפעילה מרכז לאומי ייחודי בירושלים לילדים ובוגרים עם מוגבלויות — מעון שיקומי, בריכות טיפוליות, ספורט, תעסוקה ודיור, הכול ללא תשלום, 24/7.",,,,,,,
1008,טיפול ושיקום לאנשים עם מוגבלויות,"מורכבות רפואית, שיתוק מוחין, אוטיזם, אפילפסיה",עלה — הרשת הלאומית לטיפול וקידום ילדים ואנשים עם מוגבלויות (ALEH),"ילדים, מתבגרים ובוגרים עם מוגבלויות מורכבות — מוגבלות שכלית-התפתחותית, שיתוק מוחין, אוטיזם, אפילפסיה, טיי-זקס, סיבוכים מגידולים מוחיים או תאונות. פעיל 40 שנה.","רשת עלה היא הרשת הגדולה בישראל לטיפול ושיקום של ילדים ואנשים עם מוגבלויות מורכבות — מעונות, בתי ספר, דיור מוגן, בריכה טיפולית וטיפולים פרא-רפואיים, פועלת 24/7.",,,,,,,
1009,סיוע לקשישים,"תמיכה חברתית, תעסוקה, סל שירותים לקשישים נזקקים",יד לקשיש — LifeLine for the Old,קשישים נזקקים בירושלים ובסביבה. ניצולי שואה. קשישים המחפשים עצמאות ופעילות.,"יד לקשיש מסייעת לקשישים נזקקים בירושלים לשמר חיים עצמאיים ומכבדים — דרך תמיכה כלכלית, ארוחות, מימון שיניים ופעילות חברתית ויצירתית.",,,,,,,
